variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold
source_id,I_ID,,,,,,,,,,
date,D_dat,I_dat_1;N_date;V_dat;PT_dat;L_DATEAFN;Ra_Dat,,,,%d/%m/%Y,,,,,
birth_year,,,,,,,,,,,
date_age,I_dat_1,,,,,%d/%m/%Y,,,,,
age,I_age_1,,,,,,,,,,
sex,I_sex,,,M;V,male;female;-,,,,,,
education_years,I_edu_VE,,,1;2;3;4;5;6;7,5;6;8;9;10;13;17,,,,,,
education_category,,,,,low;high,,,,,,
education_category_3,,,,,low;medium;high,,,,,,
education_category_verhage,I_edu_VE,,,1;2;3;4;5;6;7,1;2;3;4;5;6;7,,,,,,
date_diagnosis,D_dat,,,,,%d/%m/%Y,,,,,
normal_cognition_diagnosis,,,,,yes;no,,,,,,
scd_diagnosis,D_diag,,,1;-,yes;no,,,,,,
mci_diagnosis,D_diag,,,2;-,yes;no,,,,,,
dementia_diagnosis,D_diag,,,3;4;5;6;7;8;13;-,yes;yes;yes;yes;yes;yes;yes;no,,,,,,
no_normal_cognition_diagnosis,,,,,yes;no,,,,,,
no_scd_diagnosis,,,,,yes;no,,,,,,
no_mci_diagnosis,,,,,yes;no,,,,,,
no_dementia_diagnosis,,,,,yes;no,,,,,,
alzheimers_dementia,D_diag,,,3;4;-,yes;yes;no,,,,,,
lewy_body_dementia,D_diag,,,7;-,yes;no,,,,,,
vascular_dementia,D_diag,,,6;-,yes;no,,,,,,
frontotemporal_dementia,D_diag,,,5;-,yes;no,,,,,,
parkinsons_dementia,,,,,yes;no,,,,,,
semantic_dementia,,,,,yes;no,,,,,,
corticobasal_syndrome,,,,,yes;no,,,,,,
psp,,,,,yes;no,,,,,,
pnfa,,,,,yes;no,,,,,,
cjd,,,,,yes;no,,,,,,
no_alzheimers_dementia,,,,,yes;no,,,,,,
no_lewy_body_dementia,,,,,yes;no,,,,,,
no_vascular_dementia,,,,,yes;no,,,,,,
no_frontotemporal_dementia,,,,,yes;no,,,,,,
no_parkinsons_dementia,,,,,yes;no,,,,,,
no_semantic_dementia,,,,,yes;no,,,,,,
no_corticobasal_syndrome,,,,,yes;no,,,,,,
no_psp,,,,,yes;no,,,,,,
no_pnfa,,,,,yes;no,,,,,,
no_cjd,,,,,yes;no,,,,,,
date_cdr,V_dat,,,,,%d/%m/%Y,,,,,
cdr_total,V_CDR,,,,,,,,,,
cdr_sum_of_boxes,,,,,,,,,,,
mort_date,I_die_da,,,,,%d/%m/%Y,,,,,
live_date,I_live,,,,,%d/%m/%Y,,,,,
mort,I_die,,,-1;1;0,true;true;false,,,,,,
date_vitals,V_dat,,,,,%d/%m/%Y,,,,,
sbp,,,,,,,,,,,
dbp,,,,,,,,,,,
bmi,,,,,,,,,,,
weight,V_weight,,,,,,,,,,
height,V_height,,,,,,,,,,
date_comorbidities,V_dat,,,,,%d/%m/%Y,,,,,
hypertension,V_HT,,,ja;nee,yes;no,,,,,,
hypercholesterolemia,V_HC,,,ja;nee,yes;no,,,,,,
dm_1,,,,,yes;no,,,,,,
dm_2,,,,,yes;no,,,,,,
dm,v_dm,,,ja;nee,yes;no,,,,,,
myocardial_infarction,V_MI,,,ja;nee,yes;no,,,,,,
heart_failure,,,,,yes;no,,,,,,
stroke,,,,,yes;no,,,,,,
no_dm_1,,,,,yes;no,,,,,,
no_dm_2,,,,,yes;no,,,,,,
no_dm,,,,ja;nee,yes;no,,,,,,
no_myocardial_infarction,V_MI,,,ja;nee,yes;no,,,,,,
no_heart_failure,,,,,yes;no,,,,,,
no_stroke,,,,,yes;no,,,,,,
drugs_hypertension,V_med_HT,,,ja;nee,yes;no,,,,,,
drugs_hypercholesterolemia,V_med_chol,,,ja;nee,yes;no,,,,,,
drugs_diabetes,V_med_DM,,,ja;nee,yes;no,,,,,,
date_blood,Afnamedatum,,,,,%d/%m/%Y,,,,,
glucose_fasted,glucose,,,,,,,,,,
glucose_nonfasted,,,,,,,,,,,
glucose_abnormal,,,,ja;nee,yes;no,,,,,,
no_glucose_abnormal,,,,ja;nee,yes;no,,,,,,
glucose_cutoff,,,,,,,,,,,
hdl,Chol_HDL,,,,,,,,,,
ldl,Chol_LDL,,,,,,,,,,
crp,,,,,,,,,,,
date_habits,V_dat,,,,,%d/%m/%Y,,,,,
alcohol,V_alc,,,True;False,yes;no,,,,,0,
smoking_behavior,V_smoke,,,rookt;gestopt;nooit,current;past;never,,,,,,
smoker,V_smoke,,,rookt;gestopt;nooit,yes;no;no,,,,,,
apoe_date,,,,,,%d/%m/%Y,,,,,
apoe_carrier,APOE,,,E2E2;E2E3;E3E3;E3E4;E2E4;E4E4,no;no;no;yes;yes;yes,,,,,,
apoe_genotype,APOE,,,E2E2;E2E3;E3E3;E3E4;E2E4;E4E4,2/2;2/3;3/3;3/4;2/4;4/4,,,,,,
date_lp,L_DATEAFN,,,,,%d/%m/%Y,,,,,
csf_assay_amyloid,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ab_total_1_42,L_AB42_corr,L_AB42_Elecsys,,,,,,,,,
csf_ab_total_ratio_42_40,,,,,,,,,,,
csf_ab_total_1_38,,,,,,,,,,,
amy_abnormal,CSF_A,,,A+;A-,yes;no,,,,,,
no_amy_abnormal,CSF_A,,,A+;A-,yes;no,,,,,,
amy_cutoff,,,,,,,,,,,
csf_assay_tau,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ttau,L_TAU,L_TAU_Elecsys,,,,,,,,,
ttau_abnormal,CSF_N,,,ja;nee,yes;no,,,,,,
no_ttau_abnormal,CSF_N,,,ja;nee,yes;no,,,,,,
ttau_cutoff,,,,,,,,,,,
csf_ptau,L_PTAU,L_PTAU_Elecsys,,,,,,,,,
ptau_abnormal,CSF_T,,,ja;nee,yes;no,,,,,,
no_ptau_abnormal,CSF_T,,,ja;nee,yes;no,,,,,,
ptau_cutoff,,,,,,,,,,,
date_pet,PT_dat,,,,,%d/%m/%Y,,,,,
pet_tracer,,,,,PiB;Florbetapir;AV-45,,,,,,
pet_assesment,,,,,quantitative;visual,,,,,,
pet_level_suvr,PT_result_FDG,,,,,,,,,,
pet_level_bpnd,,,,,,,,,,,
pet_abnormal,PT_result_amyloid,,,pos;neg,yes;no,,,,,,
no_pet_abnormal,PT_result_amyloid,,,pos;neg,yes;no,,,,,,
date_depression,V_dat,,,,,%d/%m/%Y,,,,,
depression_rating_mini,,,,,,,,,,,
depression_rating_gds_15,V_GDS,,,,,,,,,,
depression_rating_gds,,,,,,,,,,,
depression_rating_ces_d,,,,,,,,,,,
depression,,,,,yes;no,,,,,,
no_depression,,,,,yes;no,,,,,,
depression_cutoff,,,,,,,,,,,
date_anxiety,Ra_Dat,,,,,%d/%m/%Y,,,,,
anxiety_rating_mini,,,,,,,,,,,
anxiety_rating_beck_anxiety,,,,,,,,,,,
anxiety_rating_state_trait,,,,,,,,,,,
anxiety_rating_hospital_scale,,,,,,,,,,,
anxiety,,,,,yes;no,,,,,,
no_anxiety,,,,,yes;no,,,,,,
anxiety_cutoff,,,,,,,,,,,
mhi_5_questionnaire,,,,,,,,,,,
lidas_questionnaire,,,,,,,,,,,
npi_questionnaire_frq,NPI_an_f,,,,,,,,,,
npi_questionnaire_sev,NPI_an_s,,,,,,,,,,
date_mmse,V_dat,,,,,%d/%m/%Y,,,,,
mmse_total,V_MMSE,,,,,,,,,,
date_npe,N_date,,,,,%d/%m/%Y,,,,,
attention_test_tmt_a_time,N_TMTAt,,,,,,,,,,
attention_test_tmt_a_errors,,,,,,,,,,,
attention_test_stroop_1,,,,,,,,,,,
attention_test_stroop_2,,,,,,,,,,,
attention_test_stroop_1_adj,,,,,,,,,,,
attention_test_stroop_2_adj,,,,,,,,,,,
attention_test_sdst,,,,,,,,,,,
attention_test_ldst,,,,,,,,,,,
priority_memory_im_ravlt,,,,,,,,,,,
priority_memory_im_cerad,,,,,,,,,,,
priority_memory_im_gb,,,,,,,,,,,
priority_memory_im_sct,,,,,,,,,,,
priority_memory_im_lm,,,,,,,,,,,
priority_memory_im_hopkins,,,,,,,,,,,
priority_memory_im_vat_a,,,,,,,,,,,
priority_memory_im_vat_b,,,,,,,,,,,
priority_memory_im_srb,,,,,,,,,,,
priority_memory_im_rrf,,,,,,,,,,,
priority_memory_im_mmse,,,,,,,,,,,
priority_memory_im_adas,,,,,,,,,,,
priority_memory_im_10_word_list,,,,,,,,,,,
priority_memory_im_recall_10_word_list,,,,,,,,,,,
priority_memory_im_15_word_list_correct,N_15WT1,N_15WT2;N_15WT3;N_15WT4;N_15WT5,,,,,,mean,,,
priority_memory_im_15_word_list_incorrect,,,,,,,,,,,
priority_memory_dr_ravlt,,,,,,,,,,,
priority_memory_dr_cerad,,,,,,,,,,,
priority_memory_dr_gb,,,,,,,,,,,
priority_memory_dr_sct,,,,,,,,,,,
priority_memory_dr_lm,,,,,,,,,,,
priority_memory_dr_hopkins,,,,,,,,,,,
priority_memory_dr_vat_a,,,,,,,,,,,
priority_memory_dr_vat_b,,,,,,,,,,,
priority_memory_dr_srb,,,,,,,,,,,
priority_memory_dr_rrf_short,,,,,,,,,,,
priority_memory_dr_rrf_long,,,,,,,,,,,
priority_memory_dr_mmse,,,,,,,,,,,
priority_memory_dr_adas,,,,,,,,,,,
priority_memory_dr_10_word_list,,,,,,,,,,,
priority_memory_dr_recall_10_word_list,,,,,,,,,,,
priority_memory_dr_15_word_list_correct,N_15WTui,,,,,,,,,,
priority_memory_dr_15_word_list_incorrect,,,,,,,,,,,
priority_executive_tmt_b_time,N_TMTBt,,,,,,,,,,
priority_executive_tmt_b_errors,,,,,,,,,,,
priority_executive_stroop_3,,,,,,,,,,,
priority_executive_cst_a,,,,,,,,,,,
priority_executive_cst_b,,,,,,,,,,,
priority_executive_cst_c,,,,,,,,,,,
priority_executive_vet,,,,,,,,,,,
priority_executive_bat,,,,,,,,,,,
priority_language_animal_fluency,N_FL60,,,,,,,,,,
priority_language_category_fluency_1,,,,,,,,,,,
priority_language_letter_fluency_1,,,,,,,,,,,
priority_language_any_fluency_2,,,,,,,,,,,
priority_language_bnt_15,,,,,,,,,,,
priority_language_bnt_30,,,,,,,,,,,
priority_language_bnt_60,,,,,,,,,,,
priority_language_any_picture_naming_test,,,,,,,,,,,
priority_language_animals_naming_1,,,,,,,,,,,
priority_language_verbal_fluency_1,,,,,,,,,,,
p_tau,,,,,,,,,,,
amyloid_b_42,,,,,,,,,,,
amyloid_b_40,,,,,,,,,,,
gfap,,,,,,,,,,,
nfl,Nfl_serum,,,,,,,,,,
e_selectin,,,,,,,,,,,
saa,,,,,,,,,,,
vcam,,,,,,,,,,,
icam,,,,,,,,,,,
il6,,,,,,,,,,,
il8,,,,,,,,,,,
il_1b,,,,,,,,,,,
tnfalpha,,,,,,,,,,,
